,Stimulus,Adjective,Distribution,percentage
1,1,pointy,gaussian,0
2,2,pointy,gaussian,0
3,3,pointy,gaussian,0
4,4,pointy,gaussian,0
5,5,pointy,gaussian,0
6,6,pointy,gaussian,0.18
7,7,pointy,gaussian,0.36
8,8,pointy,gaussian,0.79
9,9,pointy,gaussian,0.89
10,10,pointy,gaussian,0.88
11,11,pointy,gaussian,0.98
12,12,pointy,gaussian,1
13,13,pointy,gaussian,1
14,14,pointy,gaussian,1
15,1,tall,moved,0
16,2,tall,moved,0
17,3,tall,moved,0
18,4,tall,moved,0
19,5,tall,moved,0
20,6,tall,moved,0
21,7,tall,moved,0.01
22,8,tall,moved,0.08
23,9,tall,moved,0.2
24,10,tall,moved,0.42
25,11,tall,moved,0.6
26,12,tall,moved,0.84
27,13,tall,moved,0.97
28,14,tall,moved,0.96
29,1,big,left,0
30,2,big,left,0
31,3,big,left,0.01
32,4,big,left,0.02
33,5,big,left,0.12
34,6,big,left,0.26
35,7,big,left,0.41
36,8,big,left,0.53
37,9,big,left,0.91
38,10,big,left,0.89
39,11,big,left,0.98
40,12,big,left,1
41,13,big,left,1
42,14,big,left,1
43,1,dark,right,0
44,2,dark,right,0
45,3,dark,right,0
46,4,dark,right,0
47,5,dark,right,0
48,6,dark,right,0
49,7,dark,right,0.06
50,8,dark,right,0.2
51,9,dark,right,0.45
52,10,dark,right,0.89
53,11,dark,right,0.99
54,12,dark,right,1
55,13,dark,right,1
56,14,dark,right,1
57,1,pointy,left,0.01
58,2,pointy,left,0.02
59,3,pointy,left,0
60,4,pointy,left,0.01
61,5,pointy,left,0.02
62,6,pointy,left,0.29
63,7,pointy,left,0.61
64,8,pointy,left,0.87
65,9,pointy,left,0.88
66,10,pointy,left,0.98
67,11,pointy,left,0.96
68,12,pointy,left,1
69,13,pointy,left,1
70,14,pointy,left,1
71,1,tall,gaussian,0
72,2,tall,gaussian,0
73,3,tall,gaussian,0
74,4,tall,gaussian,0
75,5,tall,gaussian,0
76,6,tall,gaussian,0.07
77,7,tall,gaussian,0.62
78,8,tall,gaussian,0.81
79,9,tall,gaussian,0.86
80,10,tall,gaussian,0.87
81,11,tall,gaussian,1
82,12,tall,gaussian,1
83,13,tall,gaussian,1
84,14,tall,gaussian,1
85,1,big,right,0
86,2,big,right,0
87,3,big,right,0
88,4,big,right,0.01
89,5,big,right,0.01
90,6,big,right,0.03
91,7,big,right,0.04
92,8,big,right,0.14
93,9,big,right,0.38
94,10,big,right,0.69
95,11,big,right,0.98
96,12,big,right,1
97,13,big,right,1
98,14,big,right,1
99,1,dark,moved,0
100,2,dark,moved,0
101,3,dark,moved,0
102,4,dark,moved,0
103,5,dark,moved,0
104,6,dark,moved,0
105,7,dark,moved,0.01
106,8,dark,moved,0.03
107,9,dark,moved,0.08
108,10,dark,moved,0.2
109,11,dark,moved,0.5
110,12,dark,moved,0.8
111,13,dark,moved,0.93
112,14,dark,moved,1
113,1,pointy,right,0
114,2,pointy,right,0
115,3,pointy,right,0
116,4,pointy,right,0
117,5,pointy,right,0
118,6,pointy,right,0.19
119,7,pointy,right,0.43
120,8,pointy,right,0.84
121,9,pointy,right,0.81
122,10,pointy,right,0.91
123,11,pointy,right,0.95
124,12,pointy,right,1
125,13,pointy,right,1
126,14,pointy,right,1
127,1,tall,left,0
128,2,tall,left,0
129,3,tall,left,0.01
130,4,tall,left,0.05
131,5,tall,left,0.14
132,6,tall,left,0.51
133,7,tall,left,0.67
134,8,tall,left,0.71
135,9,tall,left,0.94
136,10,tall,left,1
137,11,tall,left,0.94
138,12,tall,left,1
139,13,tall,left,1
140,14,tall,left,1
141,1,big,moved,0
142,2,big,moved,0
143,3,big,moved,0
144,4,big,moved,0
145,5,big,moved,0.01
146,6,big,moved,0.01
147,7,big,moved,0.02
148,8,big,moved,0.02
149,9,big,moved,0.08
150,10,big,moved,0.18
151,11,big,moved,0.41
152,12,big,moved,0.84
153,13,big,moved,0.94
154,14,big,moved,1
155,1,dark,gaussian,0
156,2,dark,gaussian,0
157,3,dark,gaussian,0.01
158,4,dark,gaussian,0.02
159,5,dark,gaussian,0.03
160,6,dark,gaussian,0.07
161,7,dark,gaussian,0.22
162,8,dark,gaussian,0.45
163,9,dark,gaussian,0.86
164,10,dark,gaussian,0.99
165,11,dark,gaussian,0.96
166,12,dark,gaussian,1
167,13,dark,gaussian,1
168,14,dark,gaussian,1
169,1,pointy,moved,0
170,2,pointy,moved,0
171,3,pointy,moved,0
172,4,pointy,moved,0
173,5,pointy,moved,0
174,6,pointy,moved,0.14
175,7,pointy,moved,0.21
176,8,pointy,moved,0.38
177,9,pointy,moved,0.57
178,10,pointy,moved,0.74
179,11,pointy,moved,0.98
180,12,pointy,moved,0.96
181,13,pointy,moved,0.97
182,14,pointy,moved,0.96
183,1,tall,right,0
184,2,tall,right,0
185,3,tall,right,0
186,4,tall,right,0
187,5,tall,right,0
188,6,tall,right,0
189,7,tall,right,0.08
190,8,tall,right,0.32
191,9,tall,right,0.64
192,10,tall,right,0.9
193,11,tall,right,0.99
194,12,tall,right,1
195,13,tall,right,1
196,14,tall,right,1
197,1,big,gaussian,0
198,2,big,gaussian,0
199,3,big,gaussian,0.01
200,4,big,gaussian,0.03
201,5,big,gaussian,0.06
202,6,big,gaussian,0.09
203,7,big,gaussian,0.28
204,8,big,gaussian,0.39
205,9,big,gaussian,0.79
206,10,big,gaussian,0.93
207,11,big,gaussian,1
208,12,big,gaussian,1
209,13,big,gaussian,1
210,14,big,gaussian,1
211,1,dark,left ,0
212,2,dark,left ,0
213,3,dark,left ,0.02
214,4,dark,left ,0.06
215,5,dark,left ,0.16
216,6,dark,left ,0.23
217,7,dark,left ,0.47
218,8,dark,left ,0.63
219,9,dark,left ,0.9
220,10,dark,left ,0.96
221,11,dark,left ,1
222,12,dark,left ,1
223,13,dark,left ,1
224,14,dark,left ,1
